temperature,humidity,feed_intake,water_consumption,activity_level,symptoms,disease
41.7,59.3,High,Medium,Active,None,Healthy
41.7,66.3,Low,Low,Weak,Swollen Head|Sneezing|Lethargy|Watery Eyes|Difficulty Breathing,Avian Influenza
42.0,84.2,Medium,High,Weak,Swollen Head|Reduced Feeding|Ruffled Feathers|Watery Eyes,Avian Influenza
42.8,64.7,Low,Low,Weak,Lethargy|Reduced Egg Production|Twisted Neck,Newcastle Disease
41.3,55.0,High,High,Active,None,Healthy
41.0,48.1,High,High,Moderate,None,Healthy
41.0,70.6,Medium,Medium,Moderate,Sneezing,Healthy
42.1,68.9,Medium,Medium,Weak,Difficulty Breathing|Lethargy|Reduced Egg Production|Sneezing|Watery Eyes|Diarrhea|Reduced Feeding,Avian Influenza
42.5,58.1,Low,High,Weak,Reduced Egg Production|Reduced Feeding|Difficulty Breathing|Sneezing|Twisted Neck|Diarrhea|Nasal Discharge,Newcastle Disease
41.7,71.9,Low,Low,Weak,Watery Eyes|Reduced Feeding|Reduced Egg Production|Nasal Discharge|Ruffled Feathers,Avian Influenza
40.7,70.5,Medium,Medium,Active,None,Healthy
41.4,67.3,Medium,Medium,Moderate,Ruffled Feathers|Lethargy|Nasal Discharge|Sneezing|Watery Eyes|Swollen Head,Avian Influenza
40.9,78.6,Low,Low,Weak,Difficulty Breathing|Nasal Discharge|Diarrhea|Swollen Head,Avian Influenza
41.2,63.1,Medium,High,Moderate,None,Healthy
41.8,63.6,High,Medium,Moderate,Reduced Feeding|Difficulty Breathing,Healthy
41.0,53.9,High,Low,Moderate,Nasal Discharge,Healthy
41.4,54.4,High,High,Moderate,Sneezing,Healthy
42.1,86.9,High,Medium,Weak,Ruffled Feathers|Sneezing|Difficulty Breathing|Lethargy|Coughing|Diarrhea|Watery Eyes,Newcastle Disease
43.2,70.4,Medium,Low,Weak,Twisted Neck|Reduced Egg Production|Diarrhea,Newcastle Disease
41.2,61.8,High,Medium,Moderate,Swollen Head|Reduced Egg Production,Healthy
41.9,61.9,Low,Low,Weak,Difficulty Breathing|Lethargy|Watery Eyes|Twisted Neck|Sneezing,Newcastle Disease
41.6,58.5,High,Low,Active,Reduced Egg Production|Lethargy,Healthy
41.0,71.3,Medium,High,Moderate,None,Healthy
41.1,57.4,High,High,Active,None,Healthy
42.1,94.9,Low,High,Weak,Twisted Neck|Reduced Feeding|Diarrhea|Swollen Head|Sneezing,Newcastle Disease
42.5,73.9,Medium,Low,Weak,Nasal Discharge|Lethargy|Reduced Feeding|Reduced Egg Production|Watery Eyes,Avian Influenza
41.5,63.0,High,High,Active,Diarrhea,Healthy
42.5,59.2,Low,Low,Moderate,Coughing|Sneezing|Reduced Egg Production|Lethargy|Nasal Discharge|Reduced Feeding,Newcastle Disease
41.7,74.3,Low,Low,Weak,Difficulty Breathing|Coughing|Ruffled Feathers,Newcastle Disease
40.8,67.9,High,High,Active,Twisted Neck|Difficulty Breathing,Healthy
43.2,98.7,Low,Low,Weak,Twisted Neck|Difficulty Breathing|Sneezing|Ruffled Feathers|Coughing|Reduced Feeding|Reduced Egg Production,Newcastle Disease
41.2,60.7,High,Low,Active,None,Healthy
41.1,64.1,High,High,Weak,Twisted Neck|Reduced Feeding,Healthy
